sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_523 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
88,2081312859,-71.446259,5.573830,-33.362717,-0.019376,0.031929,0.129426,-3.558488,3.751588,1.298839
89,2081329526,-71.478653,5.601919,-33.417728,-0.012845,0.040547,0.114284,-2.201373,3.584587,1.258621
90,2081346193,-71.494072,5.628967,-33.471741,0.010648,0.037115,0.089321,-1.186944,3.506834,1.219888
91,2081362860,-71.490372,5.658556,-33.524807,-0.004339,0.033382,0.018446,-0.041800,3.502428,1.383105
92,2081379527,-71.497849,5.690055,-33.580578,0.021146,0.006210,-0.035454,-0.697062,3.692551,1.440465
93,2081396194,-71.531189,5.723514,-33.642597,-0.007619,0.005633,0.004706,-2.208813,4.081121,1.436085
94,2081412861,-71.566399,5.758610,-33.707611,0.021238,0.031060,0.007126,-2.299829,4.282629,1.474568
95,2081429528,-71.579208,5.796523,-33.772068,0.042310,-0.010326,0.000513,-0.958632,4.304042,1.647390
96,2081446195,-71.578003,5.837352,-33.837551,-0.005182,-0.027501,-0.009898,-0.107381,4.416610,1.794381
97,2081462862,-71.586983,5.878844,-33.907616,-0.001257,0.020306,0.054806,-0.689161,4.687246,1.747049
98,2081479529,-71.603607,5.921924,-33.979645,0.084550,0.028506,0.082814,-1.131693,4.828620,1.800996
99,2081496196,-71.629448,5.964740,-34.050972,-0.032086,0.035937,0.042464,-1.685188,4.783037,1.801604
100,2081512863,-71.652771,6.010523,-34.127174,-0.011223,-0.062240,0.113930,-1.501378,5.116746,1.880824
101,2081529530,-71.645454,6.053016,-34.206009,0.020350,0.014155,0.147454,0.357457,5.199628,1.645264
102,2081546197,-71.635078,6.094560,-34.281384,-0.011151,0.102780,0.090499,0.521532,4.987299,1.655791
103,2081562864,-71.646416,6.132765,-34.360653,0.013116,0.059701,0.140747,-0.751758,5.144701,1.392095
104,2081579531,-71.683578,6.166595,-34.444447,0.043411,0.074169,0.204220,-2.270809,5.315858,1.060680
105,2081596198,-71.717216,6.195970,-34.526485,0.015357,0.108137,0.257688,-2.067726,5.134316,0.842434
106,2081612865,-71.715599,6.220272,-34.604694,0.002573,0.044427,0.274357,0.025978,4.820957,0.627287
107,2081629532,-71.693565,6.238469,-34.683102,-0.023685,0.033263,0.216320,1.252506,4.716994,0.274254
108,2081646199,-71.682320,6.251918,-34.763409,-0.009146,0.036364,0.204308,0.621012,4.735167,-0.032835
109,2081662866,-71.690575,6.259641,-34.847691,0.017955,0.029831,0.231574,-0.523447,4.853549,-0.433751
110,2081679533,-71.707710,6.263639,-34.934067,0.010930,0.020362,0.228699,-1.041848,4.902328,-0.683808
111,2081696200,-71.723175,6.262141,-35.021374,0.020270,-0.008546,0.247580,-0.936221,4.850936,-1.013341
112,2081712867,-71.723846,6.255868,-35.109474,0.066104,-0.019088,0.292398,-0.043951,4.806588,-1.298807
113,2081729534,-71.701431,6.243862,-35.193340,0.079368,0.089042,0.216611,1.314437,4.457973,-1.547686
114,2081746201,-71.681000,6.231314,-35.274563,0.083199,0.102289,0.125128,1.175514,4.297523,-1.530129
115,2081762868,-71.683502,6.219712,-35.356022,0.085371,0.107850,0.091335,-0.200432,4.329642,-1.481887
116,2081779535,-71.695747,6.209404,-35.435181,0.111251,0.126604,0.094124,-0.801050,4.222516,-1.363761
117,2081796202,-71.700287,6.203357,-35.509212,0.101369,0.122900,0.087486,-0.373728,4.015738,-1.025187
118,2081812869,-71.684807,6.200710,-35.581692,0.084221,0.057496,0.077604,0.816654,3.991937,-0.802817
119,2081829536,-71.657890,6.201981,-35.653530,0.073186,0.040425,0.014417,1.500449,4.027565,-0.567795
120,2081846203,-71.625259,6.210587,-35.725590,0.079916,0.046260,-0.025459,1.842102,4.179582,-0.157457
121,2081862870,-71.586205,6.229058,-35.797844,0.076032,0.019493,-0.015985,2.231999,4.375475,0.399206
122,2081879537,-71.532547,6.252485,-35.869625,0.038792,-0.032874,-0.004564,3.105137,4.444860,0.685799
123,2081896204,-71.473091,6.284404,-35.944511,0.058798,0.008323,-0.023138,3.476765,4.778440,1.106693
124,2081912871,-71.422134,6.324390,-36.021828,0.068704,0.028850,-0.007326,2.983643,5.071334,1.514998
125,2081929538,-71.383057,6.370993,-36.101570,0.074781,0.018040,0.014631,2.292394,5.336194,1.841047
126,2081946205,-71.349045,6.423650,-36.184452,0.059275,-0.031229,0.028551,2.012678,5.629973,2.122659
127,2081962872,-71.306519,6.482235,-36.269737,0.023206,-0.066693,0.110151,2.547036,5.879620,2.410943
128,2081979539,-71.244492,6.543429,-36.354504,0.000433,-0.053393,0.149722,3.715924,5.901789,2.563288
129,2081996206,-71.188171,6.604181,-36.441097,0.012756,-0.060177,0.177668,3.392985,5.995479,2.497923
130,2082012873,-71.137535,6.664604,-36.528568,0.090044,-0.051002,0.248190,3.062415,6.041748,2.456213
131,2082029540,-71.078789,6.722290,-36.612743,0.053660,-0.047050,0.254205,3.533509,5.801130,2.359858
132,2082046207,-71.024513,6.779348,-36.697517,-0.034706,-0.083310,0.246866,3.272984,5.825763,2.306603
133,2082062874,-70.980736,6.832742,-36.785034,-0.116442,-0.052654,0.296141,2.668133,5.908524,2.040993
134,2082079541,-70.956474,6.882150,-36.872753,-0.105634,0.016028,0.386342,1.504368,5.841201,1.808187
135,2082096208,-70.944122,6.923920,-36.958347,-0.016642,0.035611,0.553946,0.777890,5.572561,1.414186
136,2082112875,-70.877998,6.954683,-37.034687,-0.059427,-0.079073,0.731447,3.940650,4.836479,0.966054
137,2082129542,-70.673622,6.973667,-37.095879,-0.184402,-0.027781,1.011475,12.127159,3.751507,0.584444
138,2082146209,-70.251778,6.973110,-37.131275,-0.354453,0.089415,1.645348,24.989771,1.910526,-0.027751
139,2082162876,-69.529022,6.938902,-37.125225,-0.238101,0.727526,2.508599,42.740490,-1.112110,-1.095257
140,2082179543,-68.558586,6.862973,-37.055370,0.617742,1.597986,3.286227,57.140350,-5.578639,-2.061231
141,2082196210,-67.480370,6.728803,-36.897194,2.086841,1.886994,3.396977,62.982281,-11.811568,-3.235148
142,2082212877,-66.465240,6.545986,-36.655704,2.574128,1.764755,2.882051,58.636131,-17.588980,-3.761382
143,2082229544,-65.676872,6.335224,-36.347206,2.421423,1.241264,2.041918,44.623867,-21.988541,-3.392739
144,2082246211,-65.227982,6.114698,-36.007526,1.667907,0.293804,1.608016,24.116383,-23.967525,-2.909397
145,2082262878,-65.155487,5.894859,-35.666142,1.239133,-0.192863,1.147906,1.599612,-24.065369,-2.712762
146,2082279545,-65.454369,5.679615,-35.334858,1.045316,-0.506859,0.891542,-20.547962,-23.400753,-2.755449
147,2082296212,-66.040276,5.481457,-35.005802,0.988887,-0.420486,0.701313,-37.683815,-22.837284,-2.048838
148,2082312879,-66.764450,5.284109,-34.668682,0.886937,-0.430410,0.631537,-45.955189,-23.232368,-2.064979
149,2082329546,-67.553276,5.092575,-34.308716,0.936353,-0.259901,0.488692,-49.891926,-24.322491,-1.513253
150,2082346213,-68.315384,4.904023,-33.919388,0.819664,-0.283690,0.533250,-48.370441,-25.856075,-1.010880
151,2082362880,-68.953926,4.709537,-33.497234,0.734132,-0.114760,0.855299,-41.043385,-27.794655,-0.936383
152,2082379547,-69.444061,4.504813,-33.041008,0.588228,0.188675,1.048029,-32.215542,-29.908409,-1.055225
153,2082396214,-69.798790,4.281789,-32.552334,0.435770,0.506091,1.334981,-24.138763,-32.103527,-1.624072
154,2082412881,-70.066216,4.030936,-32.036026,0.271032,0.660538,1.494128,-18.902710,-34.221466,-2.796153
155,2082429548,-70.330032,3.750465,-31.494740,-0.053121,1.204652,1.486575,-18.644569,-36.224285,-4.115179
156,2082446215,-70.678604,3.442247,-30.934750,-0.138629,1.574031,1.410501,-23.638536,-37.813538,-5.503670
157,2082462882,-71.172623,3.107438,-30.362839,0.190227,1.376201,1.336821,-32.220737,-38.971123,-7.054392
158,2082479549,-71.745506,2.752255,-29.789742,-0.072713,1.263265,1.513818,-36.753250,-39.361214,-8.550146
159,2082496216,-72.250214,2.376540,-29.212740,-0.785760,0.400181,1.604459,-32.457737,-39.884338,-10.017082
160,2082512883,-72.733353,1.993470,-28.630592,-1.973723,0.590515,1.219152,-30.946611,-40.225433,-10.687295
161,2082529550,-73.336075,1.590548,-28.031502,-3.333768,-0.172726,-0.432270,-37.913151,-41.443188,-11.913501
162,2082546217,-74.297760,1.164005,-27.434038,-1.652935,0.929555,-0.579722,-59.184937,-41.579361,-13.871717
163,2082562884,-75.629692,0.766683,-26.836563,0.095535,0.500755,0.870358,-81.137131,-40.826580,-13.009523
164,2082579551,-76.869904,0.271317,-26.184658,0.026570,1.387500,2.213243,-75.391800,-45.081635,-18.858580
165,2082596218,-78.059715,-0.198402,-25.553539,-0.354615,0.772228,2.056250,-72.041466,-43.105171,-18.577707
166,2082612885,-79.023598,-0.707258,-24.889568,-0.714161,0.947627,1.656242,-58.149200,-45.129765,-21.294174
167,2082629552,-79.671082,-1.250792,-24.205976,-0.663447,0.779162,2.363311,-38.781403,-46.352077,-23.755630
168,2082646219,-80.198227,-1.783435,-23.515270,-0.688427,1.367927,0.898606,-31.168222,-46.394360,-23.513885
169,2082662886,-80.707085,-2.362121,-22.801880,-0.777655,1.579407,0.801763,-29.623924,-47.958130,-26.435022
170,2082679553,-81.358780,-2.927994,-22.098909,-0.463295,1.378442,-0.358771,-37.801273,-46.924026,-26.262253
171,2082696220,-82.049118,-3.503479,-21.390974,-0.788882,0.833740,-0.615576,-39.685635,-46.959957,-27.341568
172,2082712887,-82.682724,-4.070773,-20.675014,-0.950631,0.794935,-1.196198,-35.831860,-47.017830,-27.335651
173,2082729554,-83.245682,-4.618928,-19.955097,-0.738716,0.504958,-2.298757,-31.160963,-46.784832,-26.661388
174,2082746221,-83.803474,-5.132550,-19.236662,-0.487500,0.514324,-3.017335,-30.460386,-46.160061,-25.073595
175,2082762888,-84.425087,-5.605766,-18.533978,-0.401350,0.052450,-3.414876,-34.010548,-44.675571,-23.235323
