PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
66;3355711635;-7.657248;-1.081542;-5.730447;5.841445;-2.494319;-1.616725;0.440239;0.010176;0.895958;-0.057836
67;3355728302;-7.767698;-0.901268;-5.890034;5.367968;-2.375002;-0.761030;0.440683;0.010371;0.895685;-0.058657
68;3355744969;-7.762362;-0.913475;-6.025923;2.573686;-1.636664;-0.431203;0.441033;0.010437;0.895483;-0.059090
69;3355761636;-7.788950;-1.199440;-6.190202;3.286884;-1.145490;-0.112145;0.441316;0.010596;0.895308;-0.059592
70;3355778303;-7.716217;-1.287300;-5.871504;10.511207;-1.035010;-0.304612;0.441563;0.011193;0.895081;-0.061049
71;3355794970;-7.607028;-1.313351;-5.503373;19.495970;-1.649895;-0.984118;0.441863;0.012271;0.894732;-0.063723
72;3355811637;-7.853478;-1.344950;-5.865434;24.147518;-2.521178;-1.422225;0.442259;0.013582;0.894276;-0.067035
73;3355828304;-7.782655;-0.921161;-5.715662;6.078477;-1.447963;-1.147795;0.442547;0.013775;0.894059;-0.067980
74;3355844971;-7.914814;-1.532845;-6.256430;-2.269362;-0.417730;-1.899079;0.442710;0.013345;0.893992;-0.067882
75;3355861638;-7.793818;-1.223142;-6.269643;-6.344767;-0.167866;-1.606442;0.442844;0.012690;0.893984;-0.067239
76;3355878305;-7.579406;-1.404895;-5.865952;-5.563400;0.157896;-2.252163;0.442920;0.012005;0.893993;-0.066739
77;3355894972;-7.494310;-1.310554;-5.664184;-2.522415;-0.241733;-2.321522;0.443038;0.011500;0.893949;-0.066642
78;3355911639;-7.708056;-0.758386;-5.507303;-0.752719;-0.364328;-2.899204;0.443160;0.011032;0.893881;-0.066815
79;3355928306;-7.843506;-0.541540;-5.814053;-3.586214;-0.414913;-2.346251;0.443299;0.010455;0.893837;-0.066579
80;3355944973;-8.009817;-0.408339;-5.840197;-3.176078;-0.551877;-2.040347;0.443458;0.009947;0.893779;-0.066369
81;3355961640;-8.068999;-0.704671;-6.002999;-1.629941;-0.318481;-1.520370;0.443590;0.009614;0.893721;-0.066316
82;3355978307;-7.995493;-0.582550;-5.958996;-1.138190;-0.144212;-1.241332;0.443700;0.009353;0.893671;-0.066303
83;3355994974;-7.802828;-0.685115;-5.664234;-1.895097;-0.128384;-0.928640;0.443811;0.009087;0.893628;-0.066163
84;3356011641;-7.814238;-0.564798;-5.778371;-2.339528;-0.609467;-0.796094;0.443987;0.008808;0.893559;-0.065954
85;3356028308;-7.906345;-0.595143;-5.916468;1.382670;-1.447950;-0.838457;0.444266;0.008759;0.893401;-0.066225
86;3356044975;-7.865176;-0.608439;-5.926533;5.516329;-1.910170;-0.603871;0.444601;0.009006;0.893173;-0.067013
87;3356061642;-7.680811;-0.955236;-5.841821;7.793017;-2.028590;-0.605369;0.444946;0.009402;0.892916;-0.068090
