PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
72;2738526011;-5.501284;-4.730464;0.643249;2.753628;5.321019;-3.982532;0.687142;-0.237348;0.586979;-0.356312
73;2738542678;-5.817859;-5.982139;1.955042;-3.048181;6.752015;-1.443647;0.686323;-0.237564;0.587729;-0.356511
74;2738559345;-5.776975;-5.421926;1.758762;4.566661;4.989028;1.009403;0.686051;-0.236889;0.587991;-0.357050
75;2738576012;-6.916527;-6.692261;0.835503;-14.781003;7.346927;2.773967;0.685009;-0.237856;0.589554;-0.355829
76;2738592679;-6.964771;-7.451686;1.325661;-40.012890;10.467929;4.376860;0.682890;-0.241024;0.592793;-0.352371
77;2738609346;-7.271319;-8.383956;1.179105;-37.335293;9.025355;4.996033;0.680995;-0.243933;0.595762;-0.349013
78;2738626013;-7.061075;-8.115877;0.381764;-18.852345;6.354923;5.999278;0.680020;-0.245055;0.597561;-0.347050
79;2738642680;-7.268533;-7.202585;-0.162645;-0.208718;4.479348;7.118954;0.679914;-0.244333;0.598284;-0.346520
80;2738659347;-7.471870;-7.229572;0.373546;-13.802697;6.351604;8.410098;0.679214;-0.244743;0.599943;-0.344729
81;2738676014;-6.194954;-7.546532;1.298918;-27.829237;7.417328;9.132847;0.677944;-0.246414;0.602445;-0.341663
82;2738692681;-6.441226;-8.698427;0.356160;-16.251532;4.466200;9.212265;0.677341;-0.247080;0.604074;-0.339495
83;2738709348;-6.442546;-8.277071;0.602291;2.699317;3.336292;8.887129;0.677487;-0.245973;0.604648;-0.338984
84;2738726015;-6.573408;-8.328482;1.336377;8.471960;2.292600;7.226107;0.677840;-0.244503;0.604779;-0.339108
85;2738742682;-6.910101;-7.099434;0.829421;8.171036;3.273669;6.831748;0.678073;-0.243053;0.605004;-0.339283
86;2738759349;-7.074701;-7.353311;0.785487;-9.143240;5.247425;6.432218;0.677499;-0.243242;0.606268;-0.338036
87;2738776016;-6.766095;-7.111718;1.066520;-22.933918;6.068386;6.038111;0.676337;-0.244780;0.608279;-0.335633
88;2738792683;-6.825771;-6.825918;0.846206;-21.181213;4.676746;5.903570;0.675346;-0.246217;0.610057;-0.333340
89;2738809350;-6.578299;-6.666553;-0.009980;-11.174638;3.213647;6.826718;0.674884;-0.246653;0.611240;-0.331784
90;2738826017;-6.526477;-6.623356;-0.147399;-19.339806;4.296991;6.326353;0.673998;-0.247880;0.612911;-0.329580
91;2738842684;-6.692628;-5.123427;-1.177128;-37.374641;6.986073;7.789150;0.672272;-0.250608;0.615762;-0.325706
92;2738859351;-6.680867;-6.191111;-1.102821;-45.993118;9.848912;8.687392;0.669980;-0.253944;0.619330;-0.321045
93;2738876018;-6.450696;-7.212785;0.606913;-20.901848;7.804519;9.914984;0.668825;-0.254810;0.621572;-0.318425
94;2738892685;-6.369604;-9.055494;2.792561;-0.428180;3.849084;9.010609;0.668738;-0.253948;0.622442;-0.317595
95;2738909352;-6.592873;-8.530263;2.009682;-0.522832;2.694911;6.823781;0.668661;-0.253350;0.623099;-0.316945
96;2738926019;-6.576228;-9.448527;1.630075;-16.658762;4.281622;4.602613;0.667748;-0.254451;0.624556;-0.315117
97;2738942686;-6.914727;-9.315435;0.918863;-35.544342;5.184540;2.612629;0.665951;-0.257530;0.626869;-0.311808
98;2738959353;-7.391961;-10.715072;1.105194;-23.375067;2.862795;0.081455;0.664690;-0.259769;0.628293;-0.309769
99;2738976020;-7.681744;-9.541845;0.475941;-8.602027;0.067995;-1.728524;0.664154;-0.260881;0.628699;-0.309161
100;2738992687;-7.953744;-8.729237;0.020170;4.444348;-2.043112;-3.804767;0.664207;-0.261024;0.628233;-0.309869
101;2739009354;-7.975912;-7.340107;-0.823028;0.326069;-1.037430;-3.573343;0.664019;-0.261500;0.628064;-0.310215
102;2739026021;-7.486555;-7.227644;-0.744835;-12.312928;0.245466;-3.979524;0.663206;-0.263172;0.628587;-0.309481
103;2739042688;-7.322969;-6.620515;-0.676770;-10.889345;-0.460773;-2.592454;0.662566;-0.264609;0.629040;-0.308705
104;2739059355;-7.099300;-6.956503;-0.112096;2.927717;-2.721362;-1.726629;0.662698;-0.264731;0.628699;-0.309011
105;2739076022;-6.537524;-6.405552;0.068361;6.403656;-3.073127;-1.439242;0.663007;-0.264505;0.628184;-0.309587
106;2739092689;-6.081092;-6.526846;-0.139889;5.012028;-2.936701;-0.743421;0.663281;-0.264340;0.627776;-0.309969
107;2739109356;-6.247133;-6.790956;-0.624296;7.793101;-1.887541;-0.514354;0.663573;-0.263839;0.627356;-0.310621
108;2739126023;-6.354501;-7.338014;0.363709;5.512666;0.536810;-0.628613;0.663544;-0.263462;0.627275;-0.311164
109;2739142690;-6.485409;-7.614411;0.842676;-3.379903;0.810943;-1.222225;0.663122;-0.263986;0.627600;-0.310965
110;2739159357;-6.643007;-8.017768;0.345643;2.497014;-0.663996;-1.319682;0.663057;-0.264019;0.627509;-0.311258
