sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:45:32_044 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
60,2722297461,-6.537822,-7.283612,-1.962243,-28.522661,-0.421074,0.538080,0.200694,0.249499,0.641536,-0.697076,
61,2722314128,-6.399990,-7.141051,-3.468016,-11.137878,-2.174455,1.012131,0.201291,0.249018,0.642545,-0.696146,
62,2722330795,-6.701813,-6.777323,-3.112601,-3.278900,-5.178940,-1.092087,0.201671,0.248266,0.642745,-0.696119,
63,2722347462,-6.000510,-8.808029,-0.521575,15.684162,-7.993257,0.137521,0.201752,0.247901,0.640897,-0.697927,
64,2722364129,-5.722619,-6.871988,1.093417,46.670979,-7.156590,1.845877,0.200806,0.248682,0.635850,-0.702524,
65,2722380796,-6.779290,-6.129138,1.599646,35.152302,-5.714193,-0.982226,0.199847,0.249003,0.632099,-0.706060,
66,2722397463,-6.339682,-8.614528,1.591937,17.687683,-5.313963,1.583616,0.199744,0.249089,0.630049,-0.707889,
67,2722414130,-5.892340,-4.409933,0.148851,20.278675,-6.096382,0.465006,0.199502,0.249066,0.627744,-0.710010,
68,2722430797,-5.458695,-6.632858,2.089077,45.029064,-6.860860,-2.683693,0.198103,0.249387,0.622958,-0.714489,
69,2722447464,-4.957436,-4.679055,3.368128,27.636419,-5.996283,-2.673602,0.197251,0.249291,0.619984,-0.717340,
70,2722464131,-4.050242,-4.536120,5.502414,-13.227538,-5.676100,-6.444200,0.197457,0.247713,0.621412,-0.716594,
71,2722480798,-4.446193,-5.774192,4.734692,-32.101006,-2.287338,-8.137428,0.197858,0.245788,0.624955,-0.714060,
72,2722497465,-4.621828,-5.469016,3.808154,-33.946671,-2.113557,-10.064504,0.198104,0.243648,0.628748,-0.711391,
73,2722514132,-4.731472,-6.439764,3.192329,-6.220522,0.244902,-11.917521,0.196958,0.242376,0.629795,-0.711217,
74,2722530799,-4.732555,-9.316343,3.091986,7.646002,1.212435,-11.822112,0.195244,0.241610,0.629430,-0.712274,
75,2722547466,-5.536609,-9.846702,2.273150,20.162064,3.869772,-7.833722,0.193258,0.241836,0.627697,-0.714265,
76,2722564133,-5.432563,-10.296983,2.204868,9.835979,3.149845,-5.796554,0.191911,0.241881,0.626941,-0.715276,
77,2722580800,-5.001128,-11.019891,2.594074,3.913987,5.813528,-0.827623,0.191045,0.242491,0.626698,-0.715514,
78,2722597467,-5.309734,-8.119637,2.166004,-7.189513,5.665703,1.836655,0.190862,0.243018,0.627512,-0.714670,
79,2722614134,-5.260889,-9.073061,1.859094,4.131809,6.866875,1.691994,0.190153,0.243970,0.627187,-0.714820,
80,2722630801,-6.267737,-10.738826,1.892177,-11.776626,6.684951,5.008714,0.190370,0.244765,0.628391,-0.713432,
81,2722647468,-6.308034,-9.739664,1.314108,-40.216610,6.408405,7.346348,0.191863,0.244952,0.632443,-0.709376,
82,2722664135,-6.464334,-9.990664,-0.646805,-41.117489,6.598007,7.969934,0.193427,0.245182,0.636548,-0.705188,
83,2722680802,-6.389911,-9.852029,-1.545679,-24.320379,4.794139,8.989585,0.194660,0.245787,0.638827,-0.702572,
84,2722697469,-6.561310,-9.600910,0.405541,-2.890522,5.296535,9.521019,0.195131,0.247098,0.638908,-0.701907,
85,2722714136,-6.993377,-9.934948,0.422736,-12.253744,5.241165,11.263511,0.196122,0.248299,0.639877,-0.700323,
86,2722730803,-5.578146,-8.931920,0.104047,-28.523773,4.140070,12.900349,0.197966,0.249072,0.642405,-0.697208,
87,2722747470,-5.685208,-7.140097,-0.402300,-21.655586,4.938249,12.215910,0.199414,0.250056,0.644274,-0.694714,
88,2722764137,-5.783645,-7.220854,-0.051333,0.364706,4.280800,9.539449,0.199852,0.251359,0.643992,-0.694380,
89,2722780804,-5.833235,-7.614985,1.439111,6.776183,4.745773,10.113520,0.200068,0.252949,0.643053,-0.694610,
90,2722797471,-6.282243,-6.762659,1.133209,8.654222,4.074080,8.856961,0.200151,0.254408,0.641948,-0.695076,
91,2722814138,-6.471794,-7.582347,1.805118,-7.225743,4.651518,8.786793,0.200760,0.255455,0.642466,-0.694037,
92,2722830805,-6.244637,-7.380635,-0.255380,-23.212868,4.456294,8.952024,0.201996,0.256029,0.644580,-0.691501,
93,2722847472,-6.224566,-7.511204,-0.870211,-23.343607,3.672850,8.951192,0.203308,0.256517,0.646677,-0.688973,
94,2722864139,-6.128116,-6.928736,-0.011932,-12.212107,3.467149,8.296595,0.204157,0.257250,0.647671,-0.687514,
95,2722880806,-5.902031,-8.004883,1.727708,-18.056313,3.608789,8.932755,0.205274,0.257883,0.649226,-0.685475,
96,2722897473,-6.268694,-7.750200,1.529320,-35.317772,5.085137,10.259093,0.207027,0.258267,0.652484,-0.681699,
97,2722914140,-6.163733,-8.709117,-0.345184,-48.866371,5.531324,12.055565,0.209416,0.258448,0.657005,-0.676539,
98,2722930807,-6.008112,-6.292346,-1.367734,-26.528719,5.349645,12.704470,0.211040,0.259344,0.659275,-0.673477,
99,2722947474,-5.528580,-7.213007,-0.349641,-4.391273,4.610140,9.853947,0.211618,0.260571,0.659455,-0.672645,
100,2722964141,-5.905255,-5.813741,1.146337,0.525246,3.258826,9.299391,0.212084,0.261763,0.659131,-0.672352,
101,2722980808,-5.834213,-6.733876,2.214631,-15.143009,2.471186,6.827078,0.212980,0.262158,0.660407,-0.670660,
102,2722997475,-6.144624,-6.265286,0.977274,-34.457169,3.427833,5.626731,0.214401,0.261928,0.663632,-0.667105,
103,2723014142,-6.479423,-6.858811,-1.468166,-27.962652,2.873554,2.622472,0.215332,0.261551,0.666310,-0.664278,
104,2723030809,-6.911762,-7.158877,-1.950129,-10.303060,1.765542,0.076345,0.215451,0.261372,0.667338,-0.663277,
105,2723047476,-7.242608,-7.700244,-1.540785,1.992316,0.617887,-1.218114,0.215089,0.261341,0.667193,-0.663553,
106,2723064143,-7.505472,-7.601908,-0.277338,2.321849,-0.641918,-2.024364,0.214758,0.261121,0.667007,-0.663933,
107,2723080810,-6.958563,-8.988143,-0.591213,-11.741597,-0.244192,-1.032845,0.215019,0.260597,0.668153,-0.662902,
108,2723097477,-6.829684,-8.154635,-2.415362,-12.884936,-0.555476,-0.166944,0.215436,0.260090,0.669364,-0.661743,
109,2723114144,-6.651989,-8.539108,-1.657782,0.287522,-1.075913,-0.184066,0.215403,0.259944,0.669292,-0.661884,
110,2723130811,-6.103378,-7.517758,0.119162,6.339241,-1.998226,0.904967,0.215336,0.260004,0.668566,-0.662615,
111,2723147478,-5.639963,-7.341189,1.076088,4.428891,-0.984885,0.985225,0.215250,0.260110,0.668053,-0.663118,
112,2723164145,-5.761755,-7.177006,1.146656,6.538340,0.261717,0.721247,0.214937,0.260377,0.667385,-0.663788,
113,2723180812,-5.809854,-7.897449,1.317712,5.728428,0.035275,1.064393,0.214710,0.260629,0.666774,-0.664376,
114,2723197479,-5.847326,-7.065297,1.071453,-3.777745,1.201741,1.571742,0.214779,0.260745,0.667098,-0.663983,
115,2723214146,-6.041734,-6.982149,-0.402809,0.399027,1.549690,-0.199523,0.214486,0.260854,0.667096,-0.664037,
116,2723230813,-6.233983,-8.185295,-0.417023,3.767930,0.884426,-0.174026,0.214131,0.261005,0.666747,-0.664442,
117,2723247480,-6.454451,-7.712804,0.152671,0.585282,0.513413,-0.379824,0.213913,0.261002,0.666702,-0.664559,
118,2723264147,-6.316755,-8.251026,0.389432,-5.238963,0.873681,-0.298964,0.213890,0.260860,0.667227,-0.664095,
119,2723280814,-6.355640,-7.626907,-0.252967,-11.239038,0.573770,0.454286,0.214195,0.260575,0.668293,-0.663035,
120,2723297481,-6.242631,-8.123491,-0.095509,-9.569969,0.119323,0.198710,0.214456,0.260273,0.669193,-0.662162,
121,2723314148,-5.895272,-8.626458,-0.067984,-7.655445,0.711617,1.380992,0.214701,0.260203,0.669881,-0.661415,
122,2723330815,-5.959833,-8.399654,0.082625,-5.319911,0.974211,2.100350,0.214900,0.260300,0.670324,-0.660862,
123,2723347482,-6.193491,-8.506347,0.558823,-10.048712,1.517829,3.444929,0.215354,0.260432,0.671187,-0.659785,
124,2723364149,-6.535985,-7.794493,-0.072070,-11.177695,1.943243,4.249284,0.215886,0.260647,0.672140,-0.658555,
