PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
112;990046150;-1.723558;-7.740122;3.372881;-12.399488;0.206138;-3.930054;-0.494254;0.333982;0.454213;-0.661712
113;990062817;-1.826953;-6.373289;3.222932;1.650809;-1.201710;-7.381274;-0.495113;0.333187;0.454490;-0.661280
114;990079484;-1.978128;-6.901162;2.604661;0.117133;-2.569864;-10.678642;-0.496123;0.332154;0.455169;-0.660575
115;990096151;-1.704815;-6.189256;2.637622;-5.161963;-3.835133;-13.664937;-0.497077;0.331185;0.456588;-0.659364
116;990112818;-1.058429;-6.797505;2.239405;-15.873604;-4.871033;-16.289389;-0.497693;0.330715;0.459230;-0.657298
117;990129485;-0.440320;-7.025670;3.165257;-19.669989;-5.786551;-17.445751;-0.498167;0.330352;0.462350;-0.654929
118;990146152;-0.256835;-8.496803;3.239781;-14.362207;-5.904391;-17.751503;-0.498910;0.329569;0.464981;-0.652893
119;990162819;0.334255;-8.638314;3.495205;-5.289285;-5.737238;-16.601313;-0.499985;0.328218;0.466677;-0.651539
120;990179486;0.780100;-8.866587;3.206820;-18.260229;-5.650225;-16.210300;-0.500405;0.327842;0.469573;-0.649322
121;990196153;0.704137;-9.692901;3.463996;-33.991535;-5.825061;-14.821745;-0.499920;0.328682;0.473892;-0.646125
122;990212820;0.913926;-10.356300;3.295692;-41.485802;-6.127278;-13.797643;-0.498943;0.330097;0.478871;-0.642478
123;990229487;1.022263;-11.211708;3.867589;-19.398457;-6.115210;-12.158667;-0.498860;0.330016;0.481695;-0.640470
124;990246154;1.213938;-9.314171;4.316009;-4.349807;-4.845861;-10.595071;-0.499440;0.329067;0.482946;-0.639563
125;990262821;1.265954;-8.859557;3.439175;-11.294786;-3.884002;-10.409432;-0.499736;0.328723;0.484763;-0.638133
126;990279488;1.403678;-8.378158;4.032942;-13.750615;-3.979744;-10.939042;-0.499954;0.328508;0.486836;-0.636492
127;990296155;1.686147;-10.225308;3.121641;-15.615597;-3.184931;-11.058681;-0.500149;0.328489;0.489026;-0.634667
128;990312822;1.624857;-10.425134;3.170004;-12.546955;-2.730764;-9.651617;-0.500390;0.328387;0.490830;-0.633137
129;990329489;1.520904;-10.166389;3.045398;8.842960;-2.765379;-8.539713;-0.501545;0.326801;0.490612;-0.633212
130;990346156;1.747774;-10.077172;3.865419;5.728916;-1.606352;-7.450583;-0.502533;0.325626;0.490544;-0.633086
131;990362823;1.463370;-9.372230;3.418569;9.430095;-0.361152;-6.669793;-0.503714;0.324348;0.490006;-0.633220
132;990379490;1.257934;-10.217299;2.314918;1.232759;-0.394564;-6.091226;-0.504451;0.323708;0.490197;-0.632813
133;990396157;1.034394;-10.496732;2.900410;9.820662;-1.744558;-4.948478;-0.505389;0.322394;0.489644;-0.633163
134;990412824;0.793680;-10.407078;3.524258;10.150682;-2.001224;-4.046757;-0.506240;0.321097;0.489036;-0.633612
135;990429491;1.016939;-10.286000;2.841704;4.775572;-2.136701;-2.696019;-0.506705;0.320278;0.488869;-0.633784
136;990446158;1.018596;-9.754864;4.106914;7.949550;-2.011981;-2.372198;-0.507295;0.319260;0.488385;-0.634198
137;990462825;0.949445;-10.345034;3.988219;18.172415;-1.321092;-2.512468;-0.508420;0.317540;0.486911;-0.635293
138;990479492;0.946876;-10.851860;4.145813;20.314299;-0.714506;-1.224673;-0.509564;0.315806;0.485131;-0.636602
139;990496159;0.929800;-11.231400;4.032167;14.811176;0.220084;0.185737;-0.510387;0.314663;0.483722;-0.637580
140;990512826;1.054568;-11.180640;3.521895;16.763292;-0.160720;2.211563;-0.511082;0.313481;0.482065;-0.638860
141;990529493;0.912707;-9.473500;3.889024;10.461095;-0.394295;3.815544;-0.511321;0.312858;0.480936;-0.639824
142;990546160;1.159447;-8.710361;4.794334;12.363097;-0.421752;4.266611;-0.511601;0.312120;0.479610;-0.640954
143;990562827;0.754947;-7.954522;5.095002;17.479900;1.368559;4.162652;-0.512246;0.311159;0.477675;-0.642350
144;990579494;1.121733;-8.772523;4.488893;8.012006;2.419075;3.899349;-0.512559;0.310981;0.476553;-0.643019
145;990596161;1.578840;-10.701632;4.878731;-0.237148;1.244003;5.183518;-0.512297;0.311395;0.476232;-0.643266
146;990612828;1.817194;-13.509594;6.947656;-9.663012;0.845623;7.757842;-0.511340;0.312652;0.476704;-0.643068
147;990629495;1.736338;-15.075660;8.378979;-17.531139;3.993122;12.122939;-0.509834;0.315087;0.477476;-0.642503
148;990646162;1.635454;-16.501896;8.525990;-34.592346;9.148670;16.829679;-0.507454;0.319587;0.479232;-0.640854
149;990662829;1.617298;-18.268257;7.940581;-47.527573;14.733688;23.018448;-0.504263;0.325978;0.481470;-0.638472
150;990679496;0.864184;-19.081713;9.792951;-56.639275;23.532251;30.731026;-0.500500;0.334367;0.483503;-0.635551
151;990696163;0.331488;-20.087397;7.945661;-61.288799;31.445156;39.464622;-0.496205;0.344401;0.484908;-0.632484
152;990712830;-0.157994;-19.815388;5.601668;-66.399963;34.062763;49.864658;-0.490807;0.355726;0.485998;-0.629584
153;990729497;-0.216729;-20.079529;6.364939;-72.629486;36.558010;59.298904;-0.484306;0.368326;0.486901;-0.626669
154;990746164;0.135433;-19.247570;8.727881;-68.820190;44.619675;69.029236;-0.477582;0.381997;0.486259;-0.624139
155;990762831;0.986023;-18.690613;9.447271;-71.842682;54.971249;78.861023;-0.470402;0.397408;0.484491;-0.621337
156;990779498;1.367150;-18.194258;10.271221;-76.867249;63.968655;87.466881;-0.462635;0.414445;0.481900;-0.618046
157;990796165;1.696673;-18.420319;7.767133;-85.216682;69.573204;97.457619;-0.453673;0.433071;0.478879;-0.614255
158;990812832;1.810622;-13.737480;2.949521;-90.222031;64.779541;103.558739;-0.443308;0.451816;0.476014;-0.610536
159;990829499;1.909884;-10.914493;0.540951;-78.123360;66.425110;106.555351;-0.433381;0.469920;0.471551;-0.607452
160;990846166;2.228658;-9.131556;3.549921;-79.500801;68.911491;107.706993;-0.423226;0.488188;0.466761;-0.603895
161;990862833;3.242475;-8.058151;-8.030389;-73.680679;70.601112;106.255707;-0.413534;0.505918;0.461244;-0.600245
162;990879500;3.718858;-7.619835;8.937632;-97.826729;62.674801;103.592468;-0.401566;0.523992;0.458296;-0.595101
163;990896167;5.051079;-5.569926;-1.267298;-90.688644;73.277763;98.712486;-0.391079;0.541973;0.454255;-0.589049
164;990912834;4.459898;-11.079298;3.652185;-110.240303;71.550591;102.876808;-0.378374;0.560900;0.451422;-0.581760
165;990929501;2.656545;-4.727300;3.304966;-104.265373;74.136681;98.050423;-0.366528;0.579080;0.448086;-0.574060
166;990946168;0.748134;-13.230544;0.138219;-88.313301;73.604889;105.025543;-0.355221;0.596515;0.442625;-0.567516
167;990962835;-1.750028;-8.989257;0.677352;-104.350266;68.165657;107.623894;-0.341770;0.614175;0.438308;-0.560242
168;990979502;-1.710292;-13.946822;-1.861155;-97.045013;65.370064;112.533035;-0.328204;0.631217;0.432853;-0.553615
169;990996169;-0.637473;-5.512423;5.482016;-111.399818;66.415268;115.069717;-0.312989;0.648816;0.428019;-0.545783
170;991012836;1.611493;-5.087642;-9.149806;-106.238274;65.745117;114.935745;-0.298040;0.665718;0.422553;-0.537999
171;991029503;1.326601;-2.448400;10.151054;-101.354805;63.917042;111.249023;-0.283564;0.681660;0.416904;-0.530213
172;991046170;2.309348;-5.217144;0.631490;-81.054710;80.829903;109.355705;-0.272122;0.697582;0.408950;-0.521624
173;991062837;0.747126;-8.889696;2.654224;-98.811081;79.273102;115.156364;-0.258194;0.714038;0.401586;-0.512070
174;991079504;-0.025404;-5.467268;3.065514;-128.851562;81.455963;110.533867;-0.241448;0.731031;0.396587;-0.500018
175;991096171;-0.003860;-9.066288;-0.593999;-150.082993;80.588631;116.704803;-0.221750;0.748465;0.392182;-0.486645
