sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_805 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
80,2138480669,-2.166647,-2.124484,69.362518,-0.010588,-0.425011,0.007616,-6.835660,3.593853,-1.923168
81,2138497336,-2.264320,-2.062780,69.325066,0.320001,-0.312850,0.106809,-7.403288,3.807399,-2.678768
82,2138514003,-2.368226,-2.002894,69.287666,-0.280244,-0.023057,0.153787,-7.774570,3.701645,-2.673455
83,2138530670,-2.481890,-1.934013,69.256638,-0.219564,-0.294718,-0.063357,-8.344645,4.228549,-2.261256
84,2138547337,-2.594494,-1.864120,69.226585,0.079810,-0.202345,-0.083763,-8.277259,4.289533,-2.188439
85,2138564004,-2.702590,-1.796861,69.202713,-0.099786,-0.110504,0.164758,-7.992599,4.117659,-1.822434
86,2138580671,-2.806704,-1.726299,69.180809,-0.048470,-0.230726,-0.032141,-7.748549,4.311829,-1.683549
87,2138597338,-2.902039,-1.658170,69.161339,-0.012159,-0.218822,0.134589,-7.215918,4.160329,-1.537134
88,2138614005,-2.985708,-1.586316,69.146568,-0.142731,-0.098662,0.071630,-6.506677,4.370303,-1.236377
89,2138630672,-3.057524,-1.515702,69.138359,-0.096349,-0.109770,0.067726,-5.783976,4.276457,-0.847742
90,2138647339,-3.116055,-1.448914,69.133682,-0.001885,-0.102890,0.211961,-4.981094,4.036068,-0.645760
91,2138664006,-3.167112,-1.384478,69.131905,-0.013461,-0.079425,0.110301,-4.528172,3.885799,-0.475820
92,2138680673,-3.209177,-1.327152,69.132729,-0.071416,-0.100935,0.243572,-3.984607,3.450345,-0.334335
93,2138697340,-3.244847,-1.273409,69.135422,-0.098280,-0.072912,0.278642,-3.598674,3.229384,-0.233537
94,2138714007,-3.272729,-1.224190,69.138451,-0.119307,-0.053670,0.199285,-3.131063,2.956787,-0.224931
95,2138730674,-3.293717,-1.179223,69.143082,-0.089080,-0.035735,0.316625,-2.716010,2.696922,-0.148554
96,2138747341,-3.312654,-1.140834,69.147255,-0.087217,-0.012234,0.313631,-2.593529,2.303958,-0.199280
97,2138764008,-3.329071,-1.108501,69.152153,-0.086853,-0.005792,0.307245,-2.442030,1.938440,-0.171503
98,2138780675,-3.343787,-1.082786,69.157249,-0.106919,-0.023689,0.365407,-2.339899,1.541238,-0.182900
99,2138797342,-3.359564,-1.063071,69.164124,-0.113266,0.020039,0.316911,-2.401997,1.175604,-0.093832
100,2138814009,-3.376140,-1.048973,69.171181,-0.145952,-0.014863,0.322036,-2.449727,0.838233,-0.104794
101,2138830676,-3.396382,-1.039423,69.178375,-0.145667,-0.043910,0.347283,-2.669855,0.565548,-0.114399
102,2138847343,-3.419352,-1.033983,69.188232,-0.126077,-0.016114,0.353057,-2.831087,0.309626,0.030050
103,2138864010,-3.446627,-1.035182,69.198006,-0.163583,0.002684,0.375954,-3.089558,-0.088172,0.007498
104,2138880677,-3.478523,-1.039797,69.211411,-0.174299,0.042499,0.337377,-3.363062,-0.305841,0.206458
105,2138897344,-3.517283,-1.047318,69.225670,-0.197843,0.035579,0.356968,-3.774173,-0.483747,0.247899
106,2138914011,-3.562716,-1.060536,69.243835,-0.194313,0.007156,0.371369,-4.170336,-0.839815,0.460792
107,2138930678,-3.611807,-1.074558,69.263306,-0.202222,-0.002118,0.325837,-4.388134,-0.893896,0.536439
