sep=,
DeviceTag:,Xsens DOT 1
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_808 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
95,2138714007,167.809067,-40.426865,154.012802,0.278514,0.487989,-0.236979,-4.384203,1.127029,-0.380233
96,2138730674,167.807297,-40.461803,154.001450,0.215807,0.322365,-0.234533,-0.629829,1.785903,-0.169723
97,2138747341,167.854660,-40.509468,153.986038,0.170341,0.317156,-0.105138,2.158862,2.496130,0.174928
98,2138764008,167.925873,-40.570091,153.957993,0.187170,0.452697,-0.156666,3.099105,3.135641,0.897962
99,2138780675,168.020081,-40.640503,153.908783,0.083146,0.468321,-0.101980,3.651936,3.512500,1.960127
100,2138797342,168.154526,-40.722321,153.838211,-0.012368,0.476412,-0.085862,5.230056,3.987148,3.043077
101,2138814009,168.324493,-40.819138,153.754272,0.005277,0.510571,0.015512,6.832450,4.755389,3.808461
102,2138830676,168.490463,-40.928864,153.658936,-0.004528,0.382037,0.142877,6.139232,5.425008,4.453710
103,2138847343,168.616730,-41.046722,153.547989,0.016248,0.357105,0.084290,3.135962,5.777119,5.222027
104,2138864010,168.708786,-41.169212,153.414841,-0.035969,0.440979,0.016290,0.198569,5.864470,6.241311
105,2138880677,168.806305,-41.295181,153.259308,-0.281728,0.265035,-0.010417,-0.371832,5.887112,7.254126
106,2138897344,168.946899,-41.426678,153.085663,-0.183959,0.172503,0.177429,1.478065,6.073458,8.092059
107,2138914011,169.118622,-41.566357,152.903061,-0.127076,-0.005346,0.189112,2.971478,6.504168,8.547298
108,2138930678,169.285126,-41.713612,152.714783,-0.087146,-0.113244,0.262197,2.411034,6.937364,8.845433
109,2138947345,169.415207,-41.863686,152.519409,0.017166,0.087787,0.084468,-0.079873,7.073111,9.149533
110,2138964012,169.515015,-42.010368,152.312012,-0.197887,0.228385,0.001532,-2.403075,6.799836,9.607718
111,2138980679,169.627411,-42.154343,152.090683,-0.271187,0.279522,0.121922,-2.230752,6.550111,10.153154
112,2138997346,169.790909,-42.301170,151.860794,-0.304117,0.226994,0.135303,0.466414,6.680390,10.520185
113,2139014013,169.993042,-42.450249,151.631699,-0.215498,0.198491,0.174737,2.789743,6.858476,10.462826
114,2139030680,170.194824,-42.602798,151.403061,-0.167482,0.253892,0.230751,2.758124,7.110801,10.430861
115,2139047347,170.379013,-42.752014,151.169373,-0.072402,0.334253,0.139168,1.471610,6.919230,10.569041
116,2139064014,170.557571,-42.894543,150.924103,-0.239136,0.302384,0.283780,0.636700,6.478525,10.959329
117,2139080681,170.740372,-43.030773,150.674896,-0.159909,0.336917,0.344497,0.704817,6.118064,11.023052
118,2139097348,170.915588,-43.163597,150.429581,-0.049514,0.229994,0.329044,0.382430,5.984290,10.780654
119,2139114015,171.058441,-43.290195,150.196960,0.128041,0.089095,0.273707,-1.062089,5.738361,10.134348
120,2139130682,171.179474,-43.406494,149.970474,0.195400,-0.001718,0.231993,-2.139532,5.198349,9.741902
121,2139147349,171.320541,-43.508060,149.749161,0.102584,0.117315,0.130354,-0.741923,4.388155,9.354216
122,2139164016,171.510300,-43.597229,149.532822,0.096566,0.159894,0.128721,2.367965,3.716782,9.002656
123,2139180683,171.763931,-43.676254,149.333313,0.150613,0.125552,0.239596,6.883034,3.262754,8.163528
124,2139197350,172.087067,-43.744320,149.154984,0.302980,0.085131,0.238198,11.921084,2.790371,7.135107
125,2139214017,172.488998,-43.801991,148.997055,0.442986,0.245585,0.247043,17.487726,2.345236,6.151224
126,2139230684,172.999390,-43.842827,148.856598,0.343049,0.490111,0.227390,24.715191,1.497533,5.249623
127,2139247351,173.667862,-43.866405,148.736771,0.283101,0.545652,0.413498,35.057289,0.638956,4.225403
128,2139264018,174.549362,-43.874165,148.639801,0.525899,0.552027,0.466374,48.788174,-0.130447,3.136218
129,2139280685,175.664459,-43.869068,148.582214,0.676862,0.372336,0.544846,64.444458,-0.679784,1.376581
130,2139297352,177.024841,-43.857521,148.571548,0.738131,0.388933,0.624371,81.112999,-0.879611,-0.655790
131,2139314019,178.653824,-43.841030,148.617920,0.553903,0.288389,0.576330,99.602646,-1.069368,-3.110016
132,2139330686,-179.414902,-43.820133,148.727692,0.243782,-0.081857,0.558887,120.375908,-1.375203,-5.820873
133,2139347353,-177.153809,-43.800064,148.906326,0.357603,-0.223919,0.478374,143.021393,-1.584619,-8.751226
134,2139364020,-174.591171,-43.793911,149.173462,-0.234668,-0.054655,0.442643,164.790131,-1.346167,-12.569235
135,2139380687,-171.782898,-43.807789,149.538574,-0.532782,-0.094250,0.486057,183.595154,-1.191197,-16.850220
